SEGID,SURVEY,QNAME,FIPS
T140G13089021703,ACS2010_5yr,"Census Tract 217.03, DeKalb County, Georgia","13089021703"
T140G13089021704,ACS2010_5yr,"Census Tract 217.04, DeKalb County, Georgia","13089021704"
T140G13089022007,ACS2010_5yr,"Census Tract 220.07, DeKalb County, Georgia","13089022007"
T140G13089022100,ACS2010_5yr,"Census Tract 221, DeKalb County, Georgia","13089022100"
T140G13089022204,ACS2010_5yr,"Census Tract 222.04, DeKalb County, Georgia","13089022204"
T140G13089021308,ACS2010_5yr,"Census Tract 213.08, DeKalb County, Georgia","13089021308"
T140G13089021409,ACS2010_5yr,"Census Tract 214.09, DeKalb County, Georgia","13089021409"
T140G13089021412,ACS2010_5yr,"Census Tract 214.12, DeKalb County, Georgia","13089021412"
T140G13089021605,ACS2010_5yr,"Census Tract 216.05, DeKalb County, Georgia","13089021605"
T140G13089021410,ACS2010_5yr,"Census Tract 214.10, DeKalb County, Georgia","13089021410"
T140G13089021414,ACS2010_5yr,"Census Tract 214.14, DeKalb County, Georgia","13089021414"
T140G13089021604,ACS2010_5yr,"Census Tract 216.04, DeKalb County, Georgia","13089021604"
T140G13089021102,ACS2010_5yr,"Census Tract 211.02, DeKalb County, Georgia","13089021102"
T140G13089021405,ACS2010_5yr,"Census Tract 214.05, DeKalb County, Georgia","13089021405"
T140G13089021411,ACS2010_5yr,"Census Tract 214.11, DeKalb County, Georgia","13089021411"
T140G13121010002,ACS2010_5yr,"Census Tract 100.02, Fulton County, Georgia","13121010002"
T140G13089021413,ACS2010_5yr,"Census Tract 214.13, DeKalb County, Georgia","13089021413"
T140G13089021416,ACS2010_5yr,"Census Tract 214.16, DeKalb County, Georgia","13089021416"
T140G13089021415,ACS2010_5yr,"Census Tract 214.15, DeKalb County, Georgia","13089021415"
T140G13089021417,ACS2010_5yr,"Census Tract 214.17, DeKalb County, Georgia","13089021417"
T140G13121009602,ACS2010_5yr,"Census Tract 96.02, Fulton County, Georgia","13121009602"
T140G13121009404,ACS2010_5yr,"Census Tract 94.04, Fulton County, Georgia","13121009404"
T140G13089021602,ACS2010_5yr,"Census Tract 216.02, DeKalb County, Georgia","13089021602"
T140G13089022302,ACS2010_5yr,"Census Tract 223.02, DeKalb County, Georgia","13089022302"
T140G13089021603,ACS2010_5yr,"Census Tract 216.03, DeKalb County, Georgia","13089021603"
T140G13089021504,ACS2010_5yr,"Census Tract 215.04, DeKalb County, Georgia","13089021504"
T140G13089022203,ACS2010_5yr,"Census Tract 222.03, DeKalb County, Georgia","13089022203"
T140G13089022301,ACS2010_5yr,"Census Tract 223.01, DeKalb County, Georgia","13089022301"
T140G13089022402,ACS2010_5yr,"Census Tract 224.02, DeKalb County, Georgia","13089022402"
T140G13089021503,ACS2010_5yr,"Census Tract 215.03, DeKalb County, Georgia","13089021503"
T140G13089021502,ACS2010_5yr,"Census Tract 215.02, DeKalb County, Georgia","13089021502"
T140G13121009403,ACS2010_5yr,"Census Tract 94.03, Fulton County, Georgia","13121009403"
T140G13121009402,ACS2010_5yr,"Census Tract 94.02, Fulton County, Georgia","13121009402"
T140G13121009200,ACS2010_5yr,"Census Tract 92, Fulton County, Georgia","13121009200"
T140G13089020100,ACS2010_5yr,"Census Tract 201, DeKalb County, Georgia","13089020100"
T140G13089022401,ACS2010_5yr,"Census Tract 224.01, DeKalb County, Georgia","13089022401"
T140G13121000200,ACS2010_5yr,"Census Tract 2, Fulton County, Georgia","13121000200"
T140G13121000100,ACS2010_5yr,"Census Tract 1, Fulton County, Georgia","13121000100"
T140G13121010121,ACS2010_5yr,"Census Tract 101.21, Fulton County, Georgia","13121010121"
T140G13121010114,ACS2010_5yr,"Census Tract 101.14, Fulton County, Georgia","13121010114"
T140G13121010001,ACS2010_5yr,"Census Tract 100.01, Fulton County, Georgia","13121010001"
T140G13089023113,ACS2010_5yr,"Census Tract 231.13, DeKalb County, Georgia","13089023113"
T140G13089023102,ACS2010_5yr,"Census Tract 231.02, DeKalb County, Georgia","13089023102"
T140G13089023000,ACS2010_5yr,"Census Tract 230, DeKalb County, Georgia","13089023000"
T140G13089023101,ACS2010_5yr,"Census Tract 231.01, DeKalb County, Georgia","13089023101"
T140G13089023107,ACS2010_5yr,"Census Tract 231.07, DeKalb County, Georgia","13089023107"
T140G13089023501,ACS2010_5yr,"Census Tract 235.01, DeKalb County, Georgia","13089023501"
T140G13089023505,ACS2010_5yr,"Census Tract 235.05, DeKalb County, Georgia","13089023505"
T140G13089023504,ACS2010_5yr,"Census Tract 235.04, DeKalb County, Georgia","13089023504"
T140G13089022600,ACS2010_5yr,"Census Tract 226, DeKalb County, Georgia","13089022600"
T140G13089022800,ACS2010_5yr,"Census Tract 228, DeKalb County, Georgia","13089022800"
T140G13089022500,ACS2010_5yr,"Census Tract 225, DeKalb County, Georgia","13089022500"
T140G13089022900,ACS2010_5yr,"Census Tract 229, DeKalb County, Georgia","13089022900"
T140G13089022700,ACS2010_5yr,"Census Tract 227, DeKalb County, Georgia","13089022700"
T140G13089020801,ACS2010_5yr,"Census Tract 208.01, DeKalb County, Georgia","13089020801"
T140G13089020802,ACS2010_5yr,"Census Tract 208.02, DeKalb County, Georgia","13089020802"
T140G13089980000,ACS2010_5yr,"Census Tract 9800, DeKalb County, Georgia","13089980000"
T140G13089022403,ACS2010_5yr,"Census Tract 224.03, DeKalb County, Georgia","13089022403"
T140G13089020200,ACS2010_5yr,"Census Tract 202, DeKalb County, Georgia","13089020200"
T140G13089020300,ACS2010_5yr,"Census Tract 203, DeKalb County, Georgia","13089020300"
T140G13089020400,ACS2010_5yr,"Census Tract 204, DeKalb County, Georgia","13089020400"
T140G13121001500,ACS2010_5yr,"Census Tract 15, Fulton County, Georgia","13121001500"
T140G13121001400,ACS2010_5yr,"Census Tract 14, Fulton County, Georgia","13121001400"
T140G13121001600,ACS2010_5yr,"Census Tract 16, Fulton County, Georgia","13121001600"
T140G13121001700,ACS2010_5yr,"Census Tract 17, Fulton County, Georgia","13121001700"
T140G13089020700,ACS2010_5yr,"Census Tract 207, DeKalb County, Georgia","13089020700"
T140G13089020500,ACS2010_5yr,"Census Tract 205, DeKalb County, Georgia","13089020500"
T140G13089020600,ACS2010_5yr,"Census Tract 206, DeKalb County, Georgia","13089020600"
T140G13121003100,ACS2010_5yr,"Census Tract 31, Fulton County, Georgia","13121003100"
T140G13121003200,ACS2010_5yr,"Census Tract 32, Fulton County, Georgia","13121003200"
T140G13121003000,ACS2010_5yr,"Census Tract 30, Fulton County, Georgia","13121003000"
